Nevsehir,area,Göreme Açık Hava Müzesi,4.7,31,"38.6400491,34.8453547"
Nevsehir,eczane,kapadokya eczanesi,4.2,50,"38.644642,34.832054"
Nevsehir,eczane,Eriş Eczanesi,4.2,49,"38.628167,34.804793"
Nevsehir,eczane,Yolgösteren Eczanesi,3.6,43,"38.6308509,34.7376889"
Nevsehir,Lokanta,Sarayfood Lokanta,4.3,20,"38.6420467,34.8288607"
Nevsehir,Lokanta,Gurme kebab restaurant,4.7,14,"38.6442177,34.8325792"
Nevsehir,Lokanta,Chef Kebap Restorant,4.5,47,"38.6440868,34.8316028"
Nevsehir,Lokanta,BEYDİLLİ KEBAP STEAK,4.7,24,"38.6428815,34.829827"
Nevsehir,cami,Göreme Halil Ağa Cami,5.0,15,"38.642765,34.8296259"
Nevsehir,cami,Göreme Kasabası Merkez Cami,4.7,20,"38.6415094,34.8286415"
Nevsehir,cami,Afetevler Cami,4.3,47,"38.646406,34.831523"
Nevsehir,area,Aziz Basil Şapeli,4.6,34,"38.6391907,34.8449655"
Nevsehir,eczane,Ozan Eczanesi,4.0,38,"38.631219,34.9139819"
Nevsehir,Lokanta,Fırın Expres,4.1,28,"38.6426078,34.8289011"
Nevsehir,cami,Gedik Cami,4.0,16,"38.641245,34.830405"
Nevsehir,cami,Bahçeli Cami,4.7,18,"38.642987,34.8301771"
Nevsehir,cami,Goreme Cami,5.0,28,"38.6474597,34.8314342"
Nevsehir,area,Karanlık Kilise,4.3,29,"38.6385119,34.8461893"
Nevsehir,Lokanta,Alâ Cappadocia Restaurant   Lounge,4.8,16,"38.6420963,34.8324072"
Nevsehir,cami,Bahçelievler Yeni Cami,4.7,29,"38.6298675,34.8592776"
Nevsehir,area,Nevşehir Müzesi,4.2,48,"38.6280399,34.7250835"
Nevsehir,eczane,Selen Eczanesi,4.2,15,"38.746303,35.391643"
Nevsehir,eczane,Vatan Eczanesi,4.3,23,"38.7134039,35.4947296"
Nevsehir,eczane,Eczane Alay,4.0,25,"38.2566305,34.7020782"
Nevsehir,Lokanta,Altınoluk pide lahmacun kebap,3.7,11,"38.625838,34.71555"
Nevsehir,Lokanta,Konyalı Hacı Vehbi Usta,4.3,39,"38.6276599,34.7198013"
Nevsehir,Lokanta,Erciyesciler Lokantası,3.0,28,"38.625151,34.7141581"
Nevsehir,eczane,Fatma Hatun Camii,5.0,33,
Nevsehir,cami,Alibey Cami,4.7,30,
