Denizli,mall,Sümerpark AVM,3.2,16,"37.7902994,29.0888488"
Denizli,mall,Sinpaş Aquamall AVM,4.2,26,"37.8189278,29.0578156"
Denizli,mall,Birim Avm  Denizli Şube,3.8,41,"37.7822199,29.0837286"
Denizli,mall,BABADAĞ İŞHANI,4.5,43,"37.7831843,29.0852301"
Denizli,mall,Ege AVM,4.0,27,"37.772594,29.077359"
Denizli,eczane,Denizli Özel Sağlık Hastanesi,3.7,31,"37.7743653,29.0442947"
Denizli,eczane,Servergazi Devlet Hastanesi,3.7,19,"37.776706,29.0190347"
Denizli,eczane,ODAK HASTANESİ,4.1,35,"37.7849768,29.0932592"
Denizli,eczane,Denizli Devlet Hastanesi,3.1,19,"37.7833537,29.0784842"
Denizli,eczane,Özel Denipol Hastanesi,3.8,30,"37.7779035,29.0567921"
Denizli,eczane,Denizli Özel Egekent Hastanesi,4.1,49,"37.7810102,29.0817168"
Denizli,eczane,Pamukkale Üniversitesi Hastanesi,2.8,40,"37.7409497,29.1070153"
Denizli,eczane,Özel Can Polikliniği,3.6,48,"37.7755113,29.0698619"
